Date,Close Price
6/17/2015,29.4
6/18/2015,27.5
6/19/2015,27.55
6/22/2015,28
6/23/2015,29.7
6/24/2015,29.75
6/25/2015,30.6
6/26/2015,29.8
6/29/2015,28.95
6/30/2015,29.25
7/1/2015,29.85
7/2/2015,29.45
7/3/2015,28.95
7/6/2015,29.9
7/7/2015,30.65
7/8/2015,30
7/9/2015,29.9
7/10/2015,28.55
7/13/2015,28.55
7/14/2015,28.7
7/15/2015,28.05
7/16/2015,29.35
7/17/2015,30.1
7/20/2015,29.1
7/21/2015,28.1
7/22/2015,28.7
7/23/2015,28.5
7/24/2015,27.85
7/27/2015,27.05
7/28/2015,26.9
7/29/2015,26.6
7/30/2015,27.05
7/31/2015,27.4
8/3/2015,27.9
8/4/2015,28.45
8/5/2015,28.65
8/6/2015,28.85
8/7/2015,28.4
8/10/2015,27.75
8/11/2015,27
8/12/2015,25.95
8/13/2015,25.9
8/14/2015,26.85
8/17/2015,26.6
8/18/2015,27.05
8/19/2015,26.95
8/20/2015,25.95
8/21/2015,25.6
8/24/2015,21.1
8/25/2015,21.45
8/26/2015,21.7
8/27/2015,23.25
8/28/2015,22.6
8/31/2015,22.45
9/1/2015,21.15
9/2/2015,21.1
9/3/2015,21.95
9/4/2015,20.9
9/7/2015,20.7
9/8/2015,21.75
9/9/2015,22.05
9/10/2015,22.15
9/11/2015,22.25
9/14/2015,23.4
9/15/2015,22.8
9/16/2015,23.4
9/18/2015,23.6
9/21/2015,24.8
9/22/2015,24.55
9/23/2015,24.7
9/24/2015,24.95
9/28/2015,24.45
9/29/2015,24.45
9/30/2015,24.7
10/1/2015,24.4
10/5/2015,24.95
10/6/2015,25.9
10/7/2015,26.6
10/8/2015,26.3
10/9/2015,26.2
10/12/2015,28.95
10/13/2015,28.35
10/14/2015,28.05
10/15/2015,29.25
10/16/2015,29.35
10/19/2015,28.7
10/20/2015,31.2
10/21/2015,30.65
10/23/2015,30.6
10/26/2015,29.85
10/27/2015,30.35
10/28/2015,30
10/29/2015,30.95
10/30/2015,31.45
11/2/2015,31.6
11/3/2015,30.75
11/4/2015,30.7
11/5/2015,30.1
11/6/2015,28.8
11/9/2015,27.4
11/10/2015,26.95
11/11/2015,27.65
11/13/2015,27.4
11/16/2015,28.45
11/17/2015,28.65
11/18/2015,27.9
11/19/2015,28.3
11/20/2015,28.95
11/23/2015,29.3
11/24/2015,29.1
11/26/2015,30.45
11/27/2015,30.7
11/30/2015,30.75
12/1/2015,30.55
12/2/2015,30.3
12/3/2015,30.2
12/4/2015,30.2
12/7/2015,30.45
12/8/2015,27.55
12/9/2015,26.45
12/10/2015,26.7
12/11/2015,26.2
12/14/2015,26.65
12/15/2015,27.05
12/16/2015,26.85
12/17/2015,27.5
12/18/2015,28.1
12/21/2015,30.7
12/22/2015,30
12/23/2015,29.85
12/24/2015,29.75
12/28/2015,30.2
12/29/2015,30.45
12/30/2015,31.5
12/31/2015,32.25
1/1/2016,34
1/4/2016,32.75
1/5/2016,34.3
1/6/2016,34.45
1/7/2016,32.05
1/8/2016,33.4
1/11/2016,33.25
1/12/2016,32.95
1/13/2016,32.3
1/14/2016,31.2
1/15/2016,29.45
1/18/2016,26.4
1/19/2016,27.4
1/20/2016,26.45
1/21/2016,26.55
1/22/2016,27.75
1/25/2016,28.15
1/27/2016,28.4
1/28/2016,28.35
1/29/2016,28.6
2/1/2016,28.6
2/2/2016,27.3
2/3/2016,26.1
2/4/2016,25.2
2/5/2016,26.15
2/8/2016,26.1
2/9/2016,26.1
2/10/2016,25.8
2/11/2016,24.15
2/12/2016,24.8
2/15/2016,26.5
2/16/2016,27.05
2/17/2016,27.75
2/18/2016,27.6
2/19/2016,27.75
2/22/2016,28.05
2/23/2016,27.1
2/24/2016,27.55
2/25/2016,27.75
2/26/2016,28.3
2/29/2016,27.5
3/1/2016,28.45
3/2/2016,29.15
3/3/2016,29.25
3/4/2016,29.4
3/8/2016,29.65
3/9/2016,30.25
3/10/2016,29.9
3/11/2016,29.9
3/14/2016,30.05
3/15/2016,29.9
3/16/2016,29.85
3/17/2016,29.95
3/18/2016,30.3
3/21/2016,31.15
3/22/2016,31.45
3/23/2016,31.75
3/28/2016,30.1
3/29/2016,29.35
3/30/2016,32.55
3/31/2016,34.65
4/1/2016,34.75
4/4/2016,35.15
4/5/2016,33.85
4/6/2016,34.2
4/7/2016,33.2
4/8/2016,33.55
4/11/2016,34.6
4/12/2016,34.7
4/13/2016,34.95
4/18/2016,35.15
4/20/2016,34.55
4/21/2016,34.35
4/22/2016,34.05
4/25/2016,33
4/26/2016,32.75
4/27/2016,32.35
4/28/2016,32.2
4/29/2016,32.05
5/2/2016,32.3
5/3/2016,31.7
5/4/2016,30.45
5/5/2016,30.05
5/6/2016,30
5/9/2016,30.2
5/10/2016,30.05
5/11/2016,30.1
5/12/2016,30.25
5/13/2016,29.65
5/16/2016,29.45
5/17/2016,29.3
5/18/2016,29.85
5/19/2016,29
5/20/2016,28.5
5/23/2016,28
5/24/2016,28.05
5/25/2016,28.6
5/26/2016,31
5/27/2016,30.1
5/30/2016,30.15
5/31/2016,29.8
6/1/2016,29.75
6/2/2016,30.2
6/3/2016,29.7
6/6/2016,29.1
6/7/2016,29.95
6/8/2016,30.7
6/9/2016,29.9
6/10/2016,29.7
6/13/2016,29.35
6/14/2016,30.05
6/15/2016,30.2
6/16/2016,29.9
6/17/2016,29.75
6/20/2016,29.75
6/21/2016,30
6/22/2016,29.55
6/23/2016,29.4
6/24/2016,28.9
6/27/2016,29.35
6/28/2016,30.45
6/29/2016,30.4
6/30/2016,30.35
7/1/2016,30.1
7/4/2016,30.3
7/5/2016,30.15
7/7/2016,29.95
7/8/2016,29.25
7/11/2016,29.6
7/12/2016,29.4
7/13/2016,29.65
7/14/2016,29.45
7/15/2016,28.9
7/18/2016,28.3
7/19/2016,28.4
7/20/2016,28.7
7/21/2016,28.35
7/22/2016,28.5
7/25/2016,28.45
7/26/2016,28.35
7/27/2016,28.35
7/28/2016,28.05
7/29/2016,28.05
8/1/2016,27.45
8/2/2016,27
8/3/2016,26.5
8/4/2016,26.3
8/5/2016,27.15
8/8/2016,28.05
8/9/2016,27.65
8/10/2016,26.75
8/11/2016,27.2
8/12/2016,26.8
8/16/2016,27.1
8/17/2016,27.65
8/18/2016,27.65
8/19/2016,27.95
8/22/2016,28.1
8/23/2016,27.9
8/24/2016,28
8/25/2016,27.55
8/26/2016,27.15
8/29/2016,27.15
8/30/2016,27.55
8/31/2016,27.7
9/1/2016,26.85
9/2/2016,27.2
9/6/2016,27.1
9/7/2016,27.45
9/8/2016,27.65
9/9/2016,28.85
9/12/2016,27.35
9/14/2016,27.8
9/15/2016,27.5
9/16/2016,27.6
9/19/2016,27.65
9/20/2016,27.9
9/21/2016,27.65
9/22/2016,27.9
9/23/2016,27.8
9/26/2016,27.55
9/27/2016,27.35
9/28/2016,27.4
9/29/2016,25.15
9/30/2016,24.95
10/3/2016,25.7
10/4/2016,25.75
10/5/2016,25.7
10/6/2016,25.45
10/7/2016,25.9
10/10/2016,25.95
10/13/2016,25.25
10/14/2016,26.05
10/17/2016,26.4
10/18/2016,26.7
10/19/2016,27.05
10/20/2016,27.6
10/21/2016,27.7
10/24/2016,26.95
10/25/2016,25.8
10/26/2016,26
10/27/2016,26.8
10/28/2016,27.3
10/30/2016,27.3
11/1/2016,27.2
11/2/2016,26.55
11/3/2016,26.25
11/4/2016,25.4
11/7/2016,25.8
11/8/2016,25.9
11/9/2016,24.6
11/10/2016,25.85
11/11/2016,25.15
11/15/2016,24.35
11/16/2016,24.05
11/17/2016,24.45
11/18/2016,24.55
11/21/2016,23.9
11/22/2016,24
11/23/2016,24.65
11/24/2016,24.15
11/25/2016,24.5
11/28/2016,27.15
11/29/2016,28.2
11/30/2016,28.65
12/1/2016,29.1
12/2/2016,29.05
12/5/2016,31.05
12/6/2016,32.15
12/7/2016,31.8
12/8/2016,31.65
12/9/2016,31.8
12/12/2016,31.95
12/13/2016,32.25
12/14/2016,31.85
12/15/2016,32.6
12/16/2016,32
12/19/2016,31.5
12/20/2016,30.35
12/21/2016,30.55
12/22/2016,29.3
12/23/2016,29.1
12/26/2016,27.95
12/27/2016,28.5
12/28/2016,28.85
12/29/2016,30.1
12/30/2016,30.1
1/2/2017,30.55
1/3/2017,30.7
1/4/2017,31.6
1/5/2017,32.6
1/6/2017,32.65
1/9/2017,32.85
1/10/2017,33.5
1/11/2017,35.15
1/12/2017,36.5
1/13/2017,36.15
1/16/2017,36.25
1/17/2017,36.95
1/18/2017,37.85
1/19/2017,38.75
1/20/2017,34.3
1/23/2017,34.75
1/24/2017,35.15
1/25/2017,35.35
1/27/2017,36.6
1/30/2017,36.05
1/31/2017,36.2
2/1/2017,36.85
2/2/2017,36.9
2/3/2017,36.5
2/6/2017,37.25
2/7/2017,36.5
2/8/2017,36.5
2/9/2017,36.7
2/10/2017,36.55
2/13/2017,36.35
2/14/2017,36.1
2/15/2017,34.7
2/16/2017,35.15
2/17/2017,34.85
2/20/2017,35.75
2/21/2017,35.8
2/22/2017,36.75
2/23/2017,38.1
2/27/2017,38.75
2/28/2017,38.45
3/1/2017,38.5
3/2/2017,36.8
3/3/2017,37.05
3/6/2017,38.55
3/7/2017,40.4
3/8/2017,38.5
3/9/2017,37.9
3/10/2017,38.3
3/14/2017,39.55
3/15/2017,38.85
3/16/2017,39.9
3/17/2017,39.55
3/20/2017,40.25
3/21/2017,39.9
3/22/2017,39.35
3/23/2017,39.9
3/24/2017,39.45
3/27/2017,39.1
3/28/2017,39.9
3/29/2017,40
3/30/2017,39.9
3/31/2017,39.95
4/3/2017,40.75
4/5/2017,42.05
4/6/2017,44.25
4/7/2017,43.6
4/10/2017,44.35
4/11/2017,37.2
4/12/2017,33.85
4/13/2017,32.85
4/17/2017,32.85
4/18/2017,33.3
4/19/2017,33.1
4/20/2017,33.1
4/21/2017,32.7
4/24/2017,33.3
4/25/2017,32.95
4/26/2017,32.7
4/27/2017,32.75
4/28/2017,32.95
5/2/2017,32.5
5/3/2017,30.95
5/4/2017,30.65
5/5/2017,30
5/8/2017,30.9
5/9/2017,31.2
5/10/2017,31.1
5/11/2017,30.95
5/12/2017,30.3
5/15/2017,30.3
5/16/2017,32.9
5/17/2017,33.1
5/18/2017,31.9
5/19/2017,32.4
5/22/2017,31.5
5/23/2017,29.85
5/24/2017,28.05
5/25/2017,28.6
5/26/2017,28.9
5/29/2017,26.8
5/30/2017,27.45
5/31/2017,27.65
6/1/2017,26.95
6/2/2017,27.2
6/5/2017,26.8
6/6/2017,27.25
6/7/2017,27.4
6/8/2017,26.85
6/9/2017,26.75
6/12/2017,27.85
6/13/2017,27.5
6/14/2017,27.75
6/15/2017,27.65
6/16/2017,27.55
6/19/2017,27.2
6/20/2017,27.35
6/21/2017,27.15
6/22/2017,27.3
6/23/2017,26.8
6/27/2017,27.05
6/28/2017,28.25
6/29/2017,29
6/30/2017,29.7
7/3/2017,29.7
7/4/2017,28.9
7/5/2017,28.75
7/6/2017,28.3
7/7/2017,28.45
7/10/2017,29.8
7/11/2017,29.3
7/12/2017,29.4
7/13/2017,30.25
7/14/2017,29.7
7/17/2017,30
7/18/2017,29.9
7/19/2017,30.25
7/20/2017,29.85
7/21/2017,31.95
7/24/2017,33.05
7/25/2017,33.1
7/26/2017,34.95
7/27/2017,33.9
7/28/2017,33.7
7/31/2017,33.45
8/1/2017,33.35
8/2/2017,33.15
8/3/2017,32.45
8/4/2017,32.85
8/7/2017,32.85
8/8/2017,31.65
8/9/2017,31.55
8/10/2017,28.75
8/11/2017,27.35
8/14/2017,28.6
8/16/2017,29.5
8/17/2017,28.75
8/18/2017,28.8
8/21/2017,27.9
8/22/2017,27.8
8/23/2017,28.3
8/24/2017,28.55
8/28/2017,30.3
8/29/2017,29.75
8/30/2017,32.25
9/1/2017,32.6
9/4/2017,30.9
9/5/2017,31.1
9/6/2017,31.45
9/7/2017,31.6
9/8/2017,30.85
9/11/2017,31.2
9/12/2017,33.15
9/13/2017,31.9
9/14/2017,32.15
9/15/2017,31.45
9/18/2017,31.55
9/19/2017,31.65
9/20/2017,32.4
9/21/2017,32.3
9/22/2017,30.5
9/25/2017,30.8
9/26/2017,30.2
9/27/2017,29.1
9/28/2017,29.35
9/29/2017,29.55
10/3/2017,29
10/4/2017,29.4
10/5/2017,30.35
10/6/2017,30.85
10/9/2017,30.1
10/10/2017,29.95
10/11/2017,30.05
10/12/2017,30.2
10/13/2017,30.05
10/16/2017,29.9
10/17/2017,29.75
10/18/2017,29.25
10/19/2017,29.05
10/23/2017,30.45
10/24/2017,30
10/25/2017,30.25
10/26/2017,32.6
10/27/2017,32.65
10/30/2017,33.45
10/31/2017,32.8
11/1/2017,32.65
11/2/2017,33.65
11/3/2017,34.5
11/6/2017,35.65
11/7/2017,33.8
11/8/2017,33.85
11/9/2017,34.15
11/10/2017,34.55
11/13/2017,33.9
11/14/2017,33.55
11/15/2017,32.1
11/16/2017,33.1
11/17/2017,34.2
11/20/2017,35.05
11/21/2017,34.35
11/22/2017,35.45
11/23/2017,35.15
11/24/2017,35.4
11/27/2017,36.55
11/28/2017,36.55
11/29/2017,35.95
11/30/2017,35.5
12/1/2017,34.15
12/4/2017,33.7
12/5/2017,33.5
12/6/2017,32.7
12/7/2017,34.7
12/8/2017,34.9
12/11/2017,35.05
12/12/2017,34.75
12/13/2017,34
12/14/2017,34.25
12/15/2017,35.25
12/18/2017,35.55
12/19/2017,35.35
12/20/2017,35.6
12/21/2017,36.4
12/22/2017,38.7
12/26/2017,39.25
12/27/2017,40.6
12/28/2017,40.7
12/29/2017,41.65
1/1/2018,42.65
1/2/2018,43.35
1/3/2018,44.25
1/4/2018,44.2
1/5/2018,46.4
1/8/2018,46.85
1/9/2018,46
1/10/2018,46.35
1/11/2018,46.1
1/12/2018,44.8
1/15/2018,44.25
1/16/2018,42.25
1/17/2018,40.7
1/18/2018,36.95
1/19/2018,38
1/22/2018,37.55
1/23/2018,38.25
1/24/2018,37.5
1/25/2018,38.2
1/29/2018,36.95
1/30/2018,37.35
1/31/2018,36.65
2/1/2018,36.8
2/2/2018,32.7
2/5/2018,32.85
2/6/2018,31.65
